time,voltage,current,power,energy,frequency,pf
2025-09-02T02:20:34.446Z,150,40,25,12,7,10
2025-09-02T02:32:19.439Z,150,40,25,12,7,10
2025-09-02T02:33:20.303Z,1450,30,35,13,8,10
2025-09-02T02:39:47.324Z,0,0,0,0,0,0
2025-09-02T02:40:47.325Z,0,0,0,0,0,0
2025-09-02T06:57:17.832Z,0,0,0,0,0,0
2025-09-02T07:05:32.103Z,0,0,0,0,0,0
2025-09-02T07:06:34.105Z,0,0,0,0,0,0
2025-09-02T07:29:00.311Z,0,0,0,0,0,0
2025-09-02T07:30:02.341Z,0,0,0,0,0,0
2025-09-02T07:31:03.357Z,0,0,0,0,0,0
2025-09-02T07:33:07.435Z,0,0,0,0,0,0
